"ID"	"LabelName"	"R"	"G"	"B"	"A"	"ColorName"	"MappedID"	"SagID"
0	"Unknown"	0	0	0	0	0	0	0
1	"Left-Hippocampus"	220	216	20	0	1	1	1
2	"Right-Hippocampus"	220	216	20	0	2	2	1
3	"Left-Amygdala"	103	255	255	0	3	3	2
4	"Right-Amygdala"	103	255	255	0	4	4	2
5	"Left-Anterior_temporal_lobe_medial_part_GM"	100	200	200	0	5	5	3
6	"Right-Anterior_temporal_lobe_medial_part_GM"	100	200	200	0	6	6	3
7	"Left-Anterior_temporal_lobe_lateral_part_GM"	150	200	200	0	7	7	4
8	"Right-Anterior_temporal_lobe_lateral_part_GM"	150	200	200	0	8	8	4
9	"Left-Gyri_parahippocampalis_et_ambiens_anterior_part_GM"	20	220	60	0	9	9	5
10	"Right-Gyri_parahippocampalis_et_ambiens_anterior_part_GM"	20	220	60	0	10	10	5
11	"Left-Superior_temporal_gyrus_middle_part_GM"	140	220	220	0	11	11	6
12	"Right-Superior_temporal_gyrus_middle_part_GM"	140	220	220	0	12	12	6
13	"Left-Medial_and_inferior_temporal_gyri_anterior_part_GM"	180	40	120	0	13	13	7
14	"Right-Medial_and_inferior_temporal_gyri_anterior_part_GM"	180	40	120	0	14	14	7
15	"Left-Lateral_occipitotemporal_gyrus_gyrus_fusiformis_anterior_part_GM"	180	220	140	0	15	15	8
16	"Right-Lateral_occipitotemporal_gyrus_gyrus_fusiformis_anterior_part_GM"	180	220	140	0	16	16	8
17	"Left-Cerebellum"	230	148	34	0	17	17	9
18	"Right-Cerebellum"	230	148	164	0	18	18	9
19	"Brainstem"	119	159	176	0	19	19	10
20	"Right-Insula_GM"	255	192	32	0	20	20	11
21	"Left-Insula_GM"	255	192	32	0	21	21	11
22	"Right-Occipital_lobe_GM"	20	30	140	0	22	22	12
23	"Left-Occipital_lobe_GM"	20	30	140	0	23	23	12
24	"Right-Gyri_parahippocampalis_et_ambiens_posterior_part_GM"	20	220	60	0	24	24	13
25	"Left-Gyri_parahippocampalis_et_ambiens_posterior_part_GM"	20	220	60	0	25	25	13
26	"Right-Lateral_occipitotemporal_gyrus_gyrus_fusiformis_posterior_part_GM"	140	220	220	0	26	26	14
27	"Left-Lateral_occipitotemporal_gyrus_gyrus_fusiformis_posterior_part_GM"	140	220	220	0	27	27	14
28	"Right-Medial_and_inferior_temporal_gyri_posterior_part_GM"	180	40	120	0	28	28	15
29	"Left-Medial_and_inferior_temporal_gyri_posterior_part_GM"	180	40	120	0	29	29	15
30	"Right-Superior_temporal_gyrus_posterior_part_GM"	140	220	220	0	30	30	16
31	"Left-Superior_temporal_gyrus_posterior_part_GM"	140	220	220	0	31	31	16
32	"Right-Cingulate_gyrus_anterior_part_GM"	125	100	160	0	32	32	17
33	"Left-Cingulate_gyrus_anterior_part_GM"	125	100	160	0	33	33	17
34	"Right-Cingulate_gyrus_posterior_part_GM"	220	180	220	0	34	34	18
35	"Left-Cingulate_gyrus_posterior_part_GM"	220	180	220	0	35	35	18
36	"Right-Frontal_lobe_GM"	250	50	200	0	36	36	19
37	"Left-Frontal_lobe_GM"	250	50	200	0	37	37	19
38	"Right-Parietal_lobe_GM"	60	60	220	0	38	38	20
39	"Left-Parietal_lobe_GM"	60	60	220	0	39	39	20
40	"Right-Caudate_nucleus"	122	186	220	0	40	40	21
41	"Left-Caudate_nucleus"	122	186	220	0	41	41	21
42	"Right-Thalamus_high_intensity_part_in_T2"	0	118	14	0	42	42	22
43	"Left-Thalamus_high_intensity_part_in_T2"	0	118	14	0	43	43	22
44	"Right-Subthalamic_nucleus"	207	63	79	0	44	44	23
45	"Left-Subthalamic_nucleus"	207	63	79	0	45	45	23
46	"Right-Lentiform_Nucleus"	255	165	160	0	46	46	24
47	"Left-Lentiform_Nucleus"	255	165	160	0	47	47	24
48	"Corpus_Callosum"	250	255	50	0	48	48	25
49	"Left-Lateral-Ventricle"	120	18	134	0	49	49	26
50	"Right-Lateral-Ventricle"	120	18	134	0	50	50	26
51	"Right-Anterior_temporal_lobe_medial_part_WM"	60	220	65	0	51	51	27
52	"Left-Anterior_temporal_lobe_medial_part_WM"	60	220	65	0	52	52	27
53	"Right-Anterior_temporal_lobe_lateral_part_WM"	220	160	60	0	53	53	28
54	"Left-Anterior_temporal_lobe_lateral_part_WM"	220	160	60	0	54	54	28
55	"Right-Gyri_parahippocampalis_et_ambiens_anterior_part_WM"	235	35	195	0	55	55	29
56	"Left-Gyri_parahippocampalis_et_ambiens_anterior_part_WM"	235	35	195	0	56	56	29
57	"Right-Superior_temporal_gyrus_middle_part_WM"	115	35	35	0	57	57	30
58	"Left-Superior_temporal_gyrus_middle_part_WM"	115	35	35	0	58	58	30
59	"Right-Medial_and_inferior_temporal_gyri_anterior_part_WM"	75	215	135	0	59	59	31
60	"Left-Medial_and_inferior_temporal_gyri_anterior_part_WM"	75	215	135	0	60	60	31
61	"Right-Lateral_occipitotemporal_gyrus_gyrus_fusiformis_anterior_part_WM"	75	35	115	0	61	61	32
62	"Left-Lateral_occipitotemporal_gyrus_gyrus_fusiformis_anterior_part_WM"	75	35	115	0	62	62	32
63	"Right-Insula_WM"	20	220	160	0	63	63	33
64	"Left-Insula_WM"	20	220	160	0	64	64	33
65	"Right-Occipital_lobe_WM"	235	225	115	0	65	65	34
66	"Left-Occipital_lobe_WM"	235	225	115	0	66	66	34
67	"Right-Gyri_parahippocampalis_et_ambiens_posterior_part_WM"	235	35	195	0	67	67	35
68	"Left-Gyri_parahippocampalis_et_ambiens_posterior_part_WM"	235	35	195	0	68	68	35
69	"Right-Lateral_occipitotemporal_gyrus_gyrus_fusiformis_posterior_part_WM"	75	35	115	0	69	69	36
70	"Left-Lateral_occipitotemporal_gyrus_gyrus_fusiformis_posterior_part_WM"	75	35	115	0	70	70	36
71	"Right-Medial_and_inferior_temporal_gyri_posterior_part_WM"	75	215	135	0	71	71	37
72	"Left-Medial_and_inferior_temporal_gyri_posterior_part_WM"	75	215	135	0	72	72	37
73	"Right-Superior_temporal_gyrus_posterior_part_WM"	115	35	35	0	73	73	38
74	"Left-Superior_temporal_gyrus_posterior_part_WM"	115	35	35	0	74	74	38
75	"Right-Cingulate_gyrus_anterior_part_WM"	0	153	153	0	75	75	39
76	"Left-Cingulate_gyrus_anterior_part_WM"	0	153	153	0	76	76	39
77	"Right-Cingulate_gyrus_posterior_part_WM"	0	153	153	0	77	77	40
78	"Left-Cingulate_gyrus_posterior_part_WM"	0	153	153	0	78	78	40
79	"Right-Frontal_lobe_WM"	235	35	95	0	79	79	41
80	"Left-Frontal_lobe_WM"	235	35	95	0	80	80	41
81	"Right-Parietal_lobe_WM"	35	195	35	0	81	81	42
82	"Left-Parietal_lobe_WM"	235	35	95	0	82	82	42
83	"CSF"	60	60	60	0	83	83	43
84	"Extra_cranial_background"	100	100	100	0	84	84	44
85	"Right-IntraCranialBackground"	100	100	100	0	85	85	45
86	"Right-Thalamus_low_intensity_part_in_T2"	0	118	14	0	86	86	46
87	"Left-Thalamus_low_intensity_part_in_T2"	0	118	14	0	87	87	46
88	"Left-IntraCranialBackground"	100	100	100	0	88	88	45
